"प्र",122
"स्ट",81
"न्य",49
"प्ल",46
"क्य",42
"र्ड",38
"द्व",36
"स्त",35
"ट्य",32
"क्ष",30
"र्व",28
"ट्र",27
"र्ट",27
"क्र",24
"त्र",24
"ब्ल",24
"द्ध",22
"र्क",22
"च्छ",20
"ग्र",19
"ध्य",19
"श्य",18
"म्ब",17
"स्थ",17
"क्ल",16
"र्ष",16
"ज्य",15
"र्य",15
"प्त",14
"फ्र",14
"र्म",14
"क्त",13
"स्प",13
"क्स",12
"र्श",12
"स्क",12
"त्त",11
"द्र",11
"ब्ध",11
"क्ट",10
"ड्र",10
"ब्स",10
"र्थ",10
"स्व",10
"प्श",9
"ब्य",9
"र्त",9
"व्य",9
"स्क्र",9
"ख्य",8
"त्व",8
"ट्स",7
"न्न",7
"फ्ट",7
"र्ण",7
"स्य",7
"प्प",6
"ब्र",6
"श्व",6
"त्प",5
"त्य",5
"न्ह",5
"फ्त",5
"म्प",5
"व्ल",5
"क्व",4
"क्श",4
"न्त",4
"र्ग",4
"र्च",4
"ल्य",4
"ल्ल",4
"श्च",4
"स्ट्र",4
"क्क",3
"क्न",3
"च्च",3
"ज्ञ",3
"ण्ड",3
"न्स",3
"ब्द",3
"र्ज",3
"र्ध",3
"ल्द",3
"ल्स",3
"श्त",3
"ष्य",3
"स्प्ल",3
"स्स",3
"ग्ग",2
"ज़्य",2
"ज्य्व",2
"ट्ट",2
"त्म",2
"न्म",2
"न्‍य",2
"प्स",2
"म्न",2
"म्म",2
"र्ट्स",2
"र्द",2
"र्स",2
"ल्ड",2
"ल्प",2
"श्क",2
"श्न",2
"श्र",2
"ष्ट",2
"ष्ट्र",2
"स्म",2
"क्ट्स",1
"क्स्ट",1
"ग्व",1
"घ्र",1
"ज्ज",1
"ट्व",1
"ण्ट",1
"ण्ट्र",1
"त्त्य",1
"त्त्व",1
"द्घ",1
"द्भ",1
"द्य",1
"ध्व",1
"न्ड",1
"न्द",1
"न्ध",1
"प्ट्स",1
"फ्य",1
"ब्ब",1
"म्च",1
"म्र",1
"र्घ",1
"र्ज़",1
"र्न्स",1
"र्भ",1
"ल्क",1
"ल्ट",1
"व्र",1
"व्स",1
"व्ह",1
"श्म",1
"स्न",1
"स्य्त",1
"ह्व",1
